frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
11,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,5.26,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-26.37
12,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,3.12,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-30.66
13,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,1.46,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-33.98
14,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.38,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.13
15,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.0,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.9
16,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.14,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.62
17,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.55,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-35.81
18,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,1.19,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-34.51
19,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,2.06,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-32.78
20,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,3.12,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-30.66
21,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,4.35,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-28.19
22,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,5.74,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-25.42
23,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,7.25,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-22.4
24,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,8.86,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-19.17
25,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,10.56,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-15.78
26,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,12.31,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-12.28
27,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,14.1,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-8.7
28,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,15.9,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-5.1
29,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,17.69,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-1.53
30,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,19.44,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,1.98
31,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,21.14,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,5.37
32,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,22.75,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,8.6
33,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,24.26,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,11.62
34,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,25.65,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,14.38
35,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,26.88,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,16.85
36,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,27.94,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,18.98
37,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,28.81,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,20.71
38,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.45,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.0
39,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.86,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.81
40,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,30.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,23.09
41,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.62,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.33
42,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,28.54,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,20.18
43,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,26.88,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,16.85
44,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,24.74,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,12.57
45,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,22.22,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,7.54
46,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,19.44,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,1.98
47,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,16.5,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-3.91
48,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,13.5,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-9.9
49,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,10.56,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-15.78
50,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,7.78,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-21.34
51,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,5.26,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-26.37
52,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,3.12,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-30.66
53,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,1.46,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-33.98
54,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.38,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.13
55,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.0,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.9
56,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.14,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-36.62
57,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,0.55,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-35.81
58,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,1.19,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-34.51
59,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,2.06,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-32.78
60,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,3.12,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-30.66
61,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,4.35,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-28.19
62,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,5.74,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-25.42
63,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,7.25,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-22.4
64,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,8.86,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-19.17
65,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,10.56,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-15.78
66,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,12.31,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-12.28
67,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,14.1,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-8.7
68,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,15.9,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-5.1
69,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,17.69,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-1.53
70,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,19.44,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,1.98
71,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,21.14,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,5.37
72,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,22.75,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,8.6
73,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,24.26,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,11.62
74,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,25.65,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,14.38
75,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,26.88,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,16.85
76,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,27.94,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,18.98
77,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,28.81,-0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,20.71
78,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.45,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.0
79,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,29.86,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.81
80,0.0,60.0,-4.67,-4.41,80.0,-90.0,9.68,30.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,23.09
